epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_K_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_K_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        46, 2808.093,   0.0025,           0.8481,            0.153,            84.81,        0.227,         0.23,        0.228,        0.097,          0.84748,          0.15333,           84.748,        0.226,         0.23,        0.228,       0.0971
        47, 2869.202,   0.0025,          0.84807,          0.15325,           84.806,        0.227,         0.23,        0.228,        0.097,          0.84752,          0.15229,           84.752,        0.226,         0.23,        0.228,       0.0967
        48, 2930.456,   0.0025,            0.848,          0.14924,             84.8,        0.227,         0.23,        0.228,       0.0958,          0.84742,          0.14944,           84.742,        0.226,         0.23,        0.228,       0.0958
        49, 2991.509,   0.0025,            0.848,           0.1461,             84.8,        0.227,         0.23,        0.228,       0.0948,          0.84741,           0.1429,           84.741,        0.226,         0.23,        0.228,       0.0937
        50, 3052.716,   0.0025,          0.84804,          0.14185,           84.804,        0.227,         0.23,        0.228,       0.0934,          0.84732,          0.13747,           84.732,        0.226,         0.23,        0.228,       0.0919
        51, 3113.718,  0.00125,          0.84771,          0.13466,           84.771,        0.227,         0.23,        0.228,        0.091,          0.84739,          0.13306,           84.739,        0.226,         0.23,        0.228,       0.0904
        52, 3174.741,  0.00125,          0.84772,          0.13038,           84.772,        0.227,         0.23,        0.228,       0.0895,          0.84741,          0.12955,           84.741,        0.226,         0.23,        0.228,       0.0892
        53, 3235.607,  0.00125,          0.84767,          0.12949,           84.767,        0.227,         0.23,        0.228,       0.0892,           0.8473,            0.127,            84.73,        0.226,         0.23,        0.228,       0.0883
        54, 3296.662,  0.00125,          0.84764,          0.12635,           84.764,        0.227,         0.23,        0.228,       0.0881,          0.84735,           0.1257,           84.735,        0.226,         0.23,        0.228,       0.0879
        55, 3357.802,  0.00125,          0.84765,          0.12169,           84.766,        0.227,         0.23,        0.228,       0.0865,          0.84749,          0.12296,           84.749,        0.226,         0.23,        0.228,       0.0869
        56, 3418.763,  0.00125,          0.84764,          0.12214,           84.764,        0.227,         0.23,        0.228,       0.0866,          0.84741,          0.11782,           84.741,        0.226,         0.23,        0.228,       0.0851
        57, 3479.474, 0.000625,          0.84745,          0.11792,           84.745,        0.227,         0.23,        0.228,       0.0851,          0.84746,          0.11797,           84.746,        0.226,         0.23,        0.228,       0.0851
        58, 3540.040, 0.000625,          0.84747,          0.11697,           84.746,        0.227,         0.23,        0.228,       0.0848,          0.84742,          0.11539,           84.742,        0.226,         0.23,        0.228,       0.0842
        59, 3600.742, 0.000625,          0.84743,          0.11612,           84.743,        0.227,         0.23,        0.228,       0.0845,          0.84747,          0.11681,           84.747,        0.226,         0.23,        0.228,       0.0847
        60, 3661.914, 0.000625,          0.84745,          0.11576,           84.745,        0.227,         0.23,        0.228,       0.0843,          0.84746,          0.11431,           84.746,        0.226,         0.23,        0.228,       0.0838
        61, 3722.761, 0.000625,          0.84743,          0.11309,           84.743,        0.227,         0.23,        0.228,       0.0834,          0.84738,          0.11117,           84.738,        0.226,         0.23,        0.228,       0.0827
        62, 3784.024, 0.000625,          0.84744,          0.11037,           84.744,        0.227,         0.23,        0.228,       0.0824,          0.84749,          0.11433,           84.749,        0.226,         0.23,        0.228,       0.0838
        63, 3844.629, 0.000313,          0.84736,          0.11272,           84.736,        0.227,         0.23,        0.228,       0.0832,          0.84743,           0.1118,           84.743,        0.226,         0.23,        0.228,       0.0829
        64, 3906.091, 0.000313,          0.84734,          0.11092,           84.734,        0.227,         0.23,        0.228,       0.0826,          0.84744,          0.10997,           84.744,        0.226,         0.23,        0.228,       0.0822
