epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
       387, 5917.525,    0.005,       0.00029832,       8.6914e-06,         0.029841,       0.0194,       0.0133,      0.00956,       0.0106,       0.0132,      0.00234,       0.00026046,       3.9794e-08,         0.026046,       0.0175,       0.0111,       0.0119,       0.0118,       0.0131,     0.000179
       388, 5932.776,    0.005,       0.00026965,       1.2843e-05,         0.026978,       0.0185,       0.0121,       0.0095,       0.0102,       0.0126,      0.00286,       0.00025972,       4.8925e-08,         0.025972,       0.0175,       0.0111,       0.0119,       0.0118,       0.0131,     0.000152
       389, 5948.084,    0.005,       0.00025544,       5.6936e-06,         0.025549,       0.0181,       0.0119,      0.00914,      0.00982,       0.0122,       0.0019,       0.00025922,       3.7511e-08,         0.025922,       0.0175,       0.0111,       0.0119,       0.0118,        0.013,     0.000181
       390, 5963.334,    0.005,       0.00026407,       1.0316e-05,         0.026417,       0.0182,       0.0122,       0.0094,       0.0101,       0.0125,      0.00256,       0.00025784,       6.7769e-08,         0.025784,       0.0174,       0.0111,       0.0119,       0.0117,        0.013,     0.000184
       391, 5978.589,    0.005,       0.00028442,       1.0616e-05,         0.028453,       0.0188,        0.013,      0.00955,       0.0104,       0.0129,       0.0026,       0.00025841,       3.6776e-08,         0.025841,       0.0175,       0.0111,       0.0119,       0.0117,        0.013,     0.000188
       392, 5993.847,    0.005,       0.00025909,       6.6882e-06,         0.025915,       0.0181,        0.012,      0.00931,      0.00986,       0.0123,      0.00206,       0.00025768,       8.3198e-08,         0.025768,       0.0174,       0.0111,       0.0119,       0.0117,        0.013,     0.000209
       393, 6009.126,    0.005,       0.00027773,       8.7887e-06,         0.027782,       0.0188,       0.0126,      0.00947,       0.0102,       0.0128,      0.00236,       0.00025787,       3.0451e-08,         0.025788,       0.0174,       0.0111,       0.0119,       0.0117,        0.013,     0.000146
       394, 6024.438,    0.005,       0.00026739,       5.4583e-06,         0.026744,       0.0183,       0.0123,       0.0095,         0.01,       0.0125,      0.00185,       0.00025623,       2.7279e-08,         0.025623,       0.0174,        0.011,       0.0118,       0.0117,        0.013,     0.000158
       395, 6039.701,    0.005,       0.00025244,       7.5686e-06,         0.025252,        0.018,       0.0119,      0.00901,      0.00968,       0.0121,      0.00219,       0.00025574,        4.609e-08,         0.025574,       0.0174,        0.011,       0.0118,       0.0117,        0.013,     0.000209
       396, 6054.974,    0.005,       0.00028521,       6.3344e-06,         0.028528,       0.0191,       0.0128,      0.00946,       0.0101,       0.0129,        0.002,       0.00025622,       6.2448e-08,         0.025622,       0.0174,        0.011,       0.0118,       0.0117,        0.013,     0.000172
       397, 6070.201,    0.005,       0.00028027,       1.0431e-05,         0.028037,       0.0189,       0.0127,      0.00941,       0.0101,       0.0128,      0.00257,       0.00025615,       3.0411e-08,         0.025615,       0.0174,        0.011,       0.0118,       0.0117,        0.013,     0.000169
       398, 6085.429,    0.005,       0.00025383,       9.9149e-06,         0.025393,        0.018,       0.0119,      0.00918,      0.00972,       0.0122,      0.00249,       0.00025533,       6.7983e-08,         0.025533,       0.0174,        0.011,       0.0118,       0.0117,        0.013,     0.000183
       399, 6100.689,    0.005,       0.00027061,       1.1251e-05,         0.027073,       0.0186,       0.0124,      0.00931,      0.00995,       0.0126,      0.00267,       0.00025436,       5.0003e-08,         0.025436,       0.0174,        0.011,       0.0118,       0.0116,        0.013,     0.000206
       400, 6115.995,    0.005,       0.00025576,       1.6546e-05,         0.025593,        0.018,       0.0118,      0.00916,         0.01,       0.0122,      0.00324,       0.00025326,       5.2087e-08,         0.025326,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,      0.00016
       401, 6131.277,    0.005,       0.00025909,       7.6668e-06,         0.025917,       0.0181,       0.0122,      0.00914,      0.00988,       0.0123,       0.0022,       0.00025365,       3.0265e-08,         0.025365,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,     0.000156
       402, 6146.526,    0.005,       0.00032752,       1.4397e-05,         0.032767,        0.021,       0.0141,      0.00944,      0.00998,       0.0136,      0.00303,       0.00025362,       2.9971e-08,         0.025362,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,     0.000154
       403, 6161.770,    0.005,       0.00026751,       1.1459e-05,         0.026763,       0.0184,       0.0121,      0.00932,       0.0102,       0.0125,       0.0027,       0.00025327,       1.7904e-07,         0.025328,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,     0.000368
       404, 6177.190,    0.005,       0.00026337,       1.0291e-05,         0.026347,       0.0183,       0.0122,      0.00907,      0.00995,       0.0124,      0.00256,       0.00025251,       5.3444e-08,         0.025251,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,     0.000155
       405, 6192.438,    0.005,       0.00025248,       9.7095e-06,         0.025258,       0.0179,       0.0118,      0.00925,      0.00959,       0.0122,      0.00249,        0.0002525,       1.0947e-07,          0.02525,       0.0173,        0.011,       0.0117,       0.0116,       0.0129,     0.000306
       406, 6207.700,    0.005,       0.00027195,       6.2515e-06,         0.027201,       0.0185,       0.0122,      0.00941,       0.0104,       0.0126,      0.00199,       0.00025255,       4.1319e-08,         0.025255,       0.0173,        0.011,       0.0117,       0.0116,       0.0129,     0.000157
       407, 6222.934,    0.005,       0.00029985,       1.4358e-05,         0.029999,       0.0195,       0.0132,      0.00967,       0.0106,       0.0132,      0.00302,       0.00025313,       1.2684e-07,         0.025313,       0.0173,        0.011,       0.0118,       0.0116,       0.0129,     0.000322
       408, 6238.217,    0.005,       0.00026812,       1.0659e-05,         0.026823,       0.0185,       0.0123,       0.0095,      0.00983,       0.0125,       0.0026,       0.00025192,       6.7428e-08,         0.025192,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000183
       409, 6253.508,    0.005,       0.00027888,       2.9558e-05,         0.027917,       0.0188,       0.0125,      0.00949,       0.0103,       0.0128,      0.00433,       0.00025225,         2.73e-08,         0.025225,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000143
       410, 6268.796,    0.005,        0.0002597,       6.4596e-06,         0.025977,       0.0183,       0.0121,      0.00918,      0.00961,       0.0123,      0.00203,       0.00025137,       2.4749e-07,         0.025137,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000352
       411, 6284.037,    0.005,       0.00024972,       1.1839e-05,         0.024984,       0.0179,       0.0117,      0.00895,      0.00963,       0.0121,      0.00274,       0.00025152,       5.0029e-08,         0.025152,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000221
       412, 6299.311,    0.005,        0.0002773,       7.1308e-06,         0.027737,       0.0186,       0.0125,      0.00952,       0.0103,       0.0128,      0.00213,       0.00025139,       5.0397e-08,         0.025139,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000155
       413, 6314.552,    0.005,       0.00026624,       7.2094e-06,         0.026631,       0.0183,       0.0121,      0.00947,       0.0101,       0.0125,       0.0021,       0.00025151,       7.1882e-08,         0.025151,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000255
       414, 6329.827,    0.005,       0.00026302,       1.7714e-05,          0.02632,       0.0182,       0.0122,      0.00935,      0.00998,       0.0124,      0.00336,       0.00025107,       2.6876e-07,         0.025107,       0.0173,       0.0109,       0.0117,       0.0116,       0.0129,     0.000381
       415, 6345.075,    0.005,       0.00025943,       9.1798e-06,         0.025952,       0.0179,        0.012,      0.00955,       0.0101,       0.0124,      0.00241,       0.00025076,        3.737e-08,         0.025076,       0.0172,       0.0109,       0.0117,       0.0115,       0.0128,     0.000186
       416, 6360.356,    0.005,       0.00027094,       8.2339e-06,         0.027102,       0.0183,       0.0123,       0.0095,       0.0105,       0.0127,      0.00229,       0.00025054,       6.9754e-08,         0.025054,       0.0172,       0.0109,       0.0117,       0.0116,       0.0129,     0.000174
       417, 6375.625,    0.005,       0.00028136,       9.0214e-06,         0.028145,       0.0193,       0.0129,      0.00904,      0.00956,       0.0127,       0.0024,       0.00025043,       1.0709e-07,         0.025043,       0.0172,       0.0109,       0.0117,       0.0116,       0.0128,     0.000293
       418, 6391.212,    0.005,       0.00024892,       4.9827e-06,         0.024897,       0.0177,       0.0116,      0.00912,      0.00978,       0.0121,      0.00176,       0.00025007,       3.0403e-08,         0.025007,       0.0172,       0.0109,       0.0117,       0.0115,       0.0128,     0.000142
       419, 6406.474,    0.005,       0.00025386,       7.0381e-06,         0.025393,        0.018,        0.012,      0.00904,       0.0096,       0.0122,      0.00211,       0.00024948,       3.0777e-08,         0.024948,       0.0172,       0.0109,       0.0117,       0.0115,       0.0128,     0.000149
       420, 6421.788,    0.005,       0.00026407,        6.342e-06,         0.026413,       0.0183,       0.0124,      0.00925,      0.00976,       0.0124,      0.00201,       0.00024961,       5.0209e-08,         0.024962,       0.0172,       0.0109,       0.0117,       0.0115,       0.0128,     0.000154
       421, 6437.038,    0.005,       0.00024502,        5.693e-06,         0.024508,       0.0176,       0.0116,      0.00904,      0.00981,        0.012,       0.0019,       0.00024918,        3.248e-08,         0.024918,       0.0172,       0.0109,       0.0117,       0.0115,       0.0128,      0.00017
       422, 6452.298,    0.005,       0.00025567,       8.8889e-06,         0.025576,       0.0181,       0.0119,      0.00897,      0.00985,       0.0122,      0.00238,       0.00024936,       1.0023e-07,         0.024936,       0.0172,       0.0108,       0.0117,       0.0115,       0.0128,     0.000225
       423, 6467.545,    0.005,       0.00024835,       4.9873e-06,          0.02484,       0.0178,       0.0119,       0.0089,       0.0096,        0.012,      0.00176,       0.00024816,       1.9462e-07,         0.024816,       0.0172,       0.0108,       0.0116,       0.0115,       0.0128,     0.000389
       424, 6482.830,    0.005,       0.00025928,       1.6793e-05,         0.025944,       0.0181,       0.0121,       0.0091,      0.00998,       0.0123,      0.00325,       0.00024784,       2.9724e-08,         0.024784,       0.0172,       0.0108,       0.0116,       0.0115,       0.0128,     0.000161
       425, 6498.128,    0.005,       0.00025179,       1.3662e-05,         0.025193,       0.0179,       0.0117,      0.00909,      0.00994,       0.0122,      0.00294,        0.0002483,       7.1751e-08,          0.02483,       0.0172,       0.0108,       0.0116,       0.0115,       0.0128,     0.000236
       426, 6513.395,    0.005,       0.00026843,       1.4911e-05,         0.026858,       0.0186,       0.0122,      0.00916,      0.00986,       0.0125,      0.00306,        0.0002476,       5.4768e-08,         0.024761,       0.0171,       0.0108,       0.0116,       0.0115,       0.0128,     0.000175
       427, 6528.646,    0.005,        0.0002655,       3.1939e-05,         0.026582,       0.0186,       0.0121,      0.00904,       0.0101,       0.0124,      0.00451,       0.00024701,       2.9095e-08,         0.024701,       0.0172,       0.0108,       0.0116,       0.0114,       0.0128,      0.00015
       428, 6543.902,    0.005,       0.00026406,       1.5887e-05,         0.026421,       0.0184,       0.0122,      0.00932,      0.00979,       0.0124,      0.00318,       0.00024564,       4.4642e-08,         0.024564,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000162
       429, 6559.162,    0.005,       0.00024756,       1.4943e-05,         0.024771,       0.0179,       0.0116,        0.009,      0.00957,        0.012,      0.00308,       0.00024661,       1.0754e-07,         0.024661,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000289
       430, 6574.428,    0.005,       0.00026947,       1.2589e-05,          0.02696,       0.0184,       0.0121,      0.00958,       0.0102,       0.0126,      0.00283,       0.00024583,       4.3449e-08,         0.024583,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000146
       431, 6589.665,    0.005,        0.0002857,       2.4147e-05,         0.028594,       0.0191,       0.0125,      0.00955,       0.0107,       0.0129,      0.00392,       0.00024709,       7.0075e-08,         0.024709,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000244
       432, 6604.953,    0.005,       0.00026358,       1.3871e-05,         0.026372,       0.0182,       0.0121,      0.00935,       0.0102,       0.0125,      0.00297,       0.00024703,       8.8985e-08,         0.024703,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000215
       433, 6620.226,    0.005,       0.00025251,       1.2086e-05,         0.025263,       0.0181,       0.0118,      0.00893,      0.00956,       0.0121,      0.00277,       0.00024645,       3.8089e-08,         0.024645,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000187
       434, 6635.535,    0.005,       0.00025954,       8.6957e-06,         0.025963,       0.0181,        0.012,      0.00938,      0.00988,       0.0123,      0.00234,       0.00024565,       5.4251e-08,         0.024565,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000163
       435, 6650.778,   0.0025,       0.00021892,       5.3105e-06,         0.021897,       0.0168,        0.011,      0.00834,      0.00894,       0.0113,      0.00184,       0.00024485,       1.8022e-07,         0.024485,       0.0171,       0.0108,       0.0116,       0.0114,       0.0127,     0.000376
       436, 6666.045,   0.0025,       0.00021671,       1.5914e-06,         0.021673,       0.0167,       0.0108,      0.00842,      0.00905,       0.0112,        0.001,       0.00024467,       5.3394e-08,         0.024467,       0.0171,       0.0107,       0.0116,       0.0114,       0.0127,     0.000164
       437, 6681.319,   0.0025,       0.00021718,       1.1528e-06,         0.021719,       0.0168,       0.0109,       0.0083,        0.009,       0.0112,     0.000856,       0.00024433,       4.4245e-08,         0.024433,       0.0171,       0.0107,       0.0116,       0.0114,       0.0127,     0.000175
       438, 6696.564,   0.0025,       0.00021823,       1.6403e-06,         0.021825,       0.0168,        0.011,      0.00834,      0.00902,       0.0113,      0.00102,       0.00024432,       9.0737e-08,         0.024432,       0.0171,       0.0107,       0.0116,       0.0114,       0.0127,     0.000222
       439, 6711.817,   0.0025,       0.00021233,       1.7132e-06,         0.021234,       0.0166,       0.0108,      0.00824,      0.00881,       0.0111,      0.00104,       0.00024393,       4.0345e-08,         0.024393,        0.017,       0.0107,       0.0116,       0.0114,       0.0127,     0.000142
       440, 6727.100,   0.0025,       0.00021524,       2.3366e-06,         0.021526,       0.0167,       0.0108,       0.0084,      0.00892,       0.0112,      0.00121,       0.00024373,       8.7586e-08,         0.024373,        0.017,       0.0107,       0.0115,       0.0114,       0.0127,     0.000201
       441, 6742.394,   0.0025,       0.00021967,        2.627e-06,         0.021969,       0.0169,        0.011,      0.00834,      0.00899,       0.0113,      0.00129,       0.00024344,       3.1823e-08,         0.024344,        0.017,       0.0107,       0.0115,       0.0114,       0.0127,     0.000158
       442, 6757.648,   0.0025,       0.00022066,       1.2731e-06,         0.022067,       0.0169,        0.011,      0.00837,      0.00901,       0.0113,     0.000892,       0.00024296,        4.056e-08,         0.024296,        0.017,       0.0107,       0.0115,       0.0114,       0.0127,     0.000149
       443, 6772.903,   0.0025,       0.00021601,       1.9255e-06,         0.021603,       0.0167,       0.0109,       0.0083,      0.00904,       0.0112,      0.00111,       0.00024272,       2.7439e-08,         0.024272,        0.017,       0.0107,       0.0115,       0.0114,       0.0126,     0.000153
       444, 6788.175,   0.0025,       0.00021741,       1.5995e-06,         0.021742,       0.0168,       0.0109,      0.00835,      0.00899,       0.0113,      0.00101,        0.0002424,       2.8698e-08,          0.02424,        0.017,       0.0107,       0.0115,       0.0114,       0.0126,     0.000154
       445, 6803.421,   0.0025,       0.00021617,       2.0798e-06,         0.021619,       0.0168,       0.0109,      0.00827,      0.00892,       0.0112,      0.00115,       0.00024227,       3.5269e-08,         0.024227,        0.017,       0.0107,       0.0115,       0.0113,       0.0126,     0.000179
       446, 6818.675,   0.0025,       0.00022249,         3.77e-06,         0.022253,        0.017,       0.0111,       0.0084,      0.00905,       0.0114,      0.00154,       0.00024226,       3.4837e-08,         0.024226,        0.017,       0.0107,       0.0115,       0.0114,       0.0126,     0.000174
       447, 6833.922,   0.0025,       0.00021742,       5.8587e-06,         0.021748,       0.0168,       0.0109,      0.00835,      0.00893,       0.0112,      0.00193,       0.00024183,       2.3105e-08,         0.024183,        0.017,       0.0107,       0.0115,       0.0113,       0.0126,     0.000137
       448, 6849.200,   0.0025,        0.0002197,       1.8575e-06,         0.021972,       0.0169,        0.011,      0.00841,      0.00894,       0.0113,      0.00109,       0.00024147,       3.1372e-08,         0.024147,        0.017,       0.0107,       0.0115,       0.0113,       0.0126,     0.000135
       449, 6864.470,   0.0025,        0.0002232,       3.8528e-06,         0.022323,        0.017,       0.0111,      0.00849,      0.00901,       0.0114,      0.00156,       0.00024116,       3.0456e-08,         0.024116,        0.017,       0.0107,       0.0115,       0.0113,       0.0126,     0.000156
       450, 6879.745,   0.0025,        0.0002214,       3.3716e-06,         0.022143,       0.0169,        0.011,      0.00841,      0.00917,       0.0114,      0.00146,       0.00024093,       3.2203e-08,         0.024093,        0.017,       0.0106,       0.0115,       0.0113,       0.0126,     0.000141
       451, 6895.041,   0.0025,        0.0002187,       2.1928e-06,         0.021872,       0.0168,       0.0109,      0.00847,      0.00896,       0.0113,      0.00117,       0.00024091,       3.2285e-08,         0.024091,        0.017,       0.0106,       0.0115,       0.0113,       0.0126,     0.000141
       452, 6910.301,   0.0025,       0.00021385,       3.7619e-06,         0.021388,       0.0166,       0.0108,      0.00827,      0.00898,       0.0112,      0.00155,       0.00024109,       7.0995e-08,         0.024109,        0.017,       0.0106,       0.0114,       0.0113,       0.0126,     0.000177
       453, 6925.553,   0.0025,        0.0002235,       3.2861e-06,         0.022353,       0.0169,        0.011,      0.00859,      0.00922,       0.0114,      0.00145,       0.00024112,       2.7392e-08,         0.024112,        0.017,       0.0106,       0.0114,       0.0113,       0.0126,     0.000149
       454, 6940.801,   0.0025,       0.00022226,       2.2887e-06,         0.022228,        0.017,        0.011,      0.00839,      0.00904,       0.0114,      0.00121,       0.00024093,       3.1262e-08,         0.024093,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000147
       455, 6956.076,   0.0025,       0.00022103,       4.5417e-06,         0.022107,        0.017,        0.011,      0.00837,      0.00906,       0.0113,       0.0017,       0.00024075,       3.0067e-08,         0.024075,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000141
       456, 6971.346,   0.0025,       0.00021966,       3.0876e-06,         0.021969,       0.0169,        0.011,      0.00827,      0.00898,       0.0113,       0.0014,       0.00024048,       4.6941e-08,         0.024048,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000149
       457, 6986.686,   0.0025,       0.00022477,       1.8059e-06,         0.022479,        0.017,        0.011,      0.00852,      0.00924,       0.0114,      0.00107,       0.00024029,       3.4396e-08,          0.02403,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000139
       458, 7001.941,   0.0025,       0.00022289,       3.1098e-06,         0.022292,        0.017,       0.0111,      0.00846,       0.0091,       0.0114,      0.00141,       0.00023983,       4.0976e-08,         0.023983,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000138
       459, 7017.187,   0.0025,       0.00021873,       2.4695e-06,         0.021876,       0.0168,       0.0109,      0.00838,      0.00905,       0.0113,      0.00125,       0.00023971,       3.2218e-08,         0.023971,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000147
       460, 7032.429,   0.0025,       0.00022001,       3.8374e-06,         0.022005,       0.0169,       0.0109,      0.00861,      0.00891,       0.0113,      0.00156,       0.00023948,       4.8481e-08,         0.023948,       0.0169,       0.0106,       0.0114,       0.0113,       0.0126,     0.000149
       461, 7047.698,   0.0025,       0.00021647,       5.0532e-06,         0.021652,       0.0168,       0.0109,      0.00834,      0.00884,       0.0112,      0.00179,       0.00023941,       3.1838e-08,         0.023941,       0.0169,       0.0106,       0.0114,       0.0113,       0.0125,     0.000134
       462, 7062.939,   0.0025,       0.00021904,       2.2602e-06,         0.021906,       0.0169,        0.011,      0.00824,       0.0089,       0.0113,       0.0012,       0.00023944,        4.344e-08,         0.023944,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000143
       463, 7078.225,   0.0025,       0.00022088,       4.7657e-06,         0.022093,       0.0168,        0.011,      0.00841,      0.00916,       0.0114,      0.00174,       0.00023951,       4.4615e-08,         0.023951,       0.0169,       0.0106,       0.0114,       0.0113,       0.0125,     0.000178
       464, 7093.497,   0.0025,       0.00022525,       2.8274e-06,         0.022528,        0.017,       0.0111,       0.0085,       0.0092,       0.0115,      0.00134,       0.00023902,       3.3944e-08,         0.023902,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000144
       465, 7108.782,   0.0025,       0.00022302,       1.7722e-06,         0.022304,       0.0171,       0.0111,       0.0083,      0.00901,       0.0114,      0.00106,       0.00023866,       2.4745e-08,         0.023866,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000139
       466, 7124.059,   0.0025,       0.00022793,       4.1881e-06,         0.022797,       0.0172,       0.0113,      0.00834,      0.00918,       0.0115,      0.00163,       0.00023877,       4.5453e-08,         0.023877,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000145
       467, 7139.319,   0.0025,       0.00021801,       1.6929e-06,         0.021803,       0.0168,       0.0109,      0.00831,        0.009,       0.0113,      0.00104,       0.00023851,       3.5401e-08,         0.023851,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000137
       468, 7154.611,   0.0025,       0.00021474,       3.9344e-06,         0.021478,       0.0167,       0.0107,      0.00848,      0.00884,       0.0112,      0.00158,       0.00023789,       5.0919e-08,         0.023789,       0.0169,       0.0106,       0.0114,       0.0112,       0.0125,     0.000155
       469, 7169.920,   0.0025,       0.00022107,       4.7856e-06,         0.022112,       0.0169,        0.011,      0.00849,      0.00913,       0.0114,      0.00174,       0.00023761,       4.8836e-08,         0.023761,       0.0169,       0.0105,       0.0114,       0.0112,       0.0125,     0.000152
       470, 7185.165,   0.0025,       0.00022616,       6.7937e-06,         0.022623,       0.0171,       0.0111,      0.00857,      0.00928,       0.0115,      0.00206,       0.00023743,       7.7687e-08,         0.023743,       0.0169,       0.0105,       0.0114,       0.0112,       0.0125,     0.000186
       471, 7200.457,   0.0025,       0.00021611,        6.585e-06,         0.021618,       0.0168,       0.0109,      0.00823,       0.0088,       0.0112,      0.00204,       0.00023743,        3.853e-08,         0.023743,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000146
       472, 7215.706,   0.0025,       0.00021667,        2.944e-06,          0.02167,       0.0167,       0.0109,      0.00828,      0.00906,       0.0112,      0.00137,       0.00023696,       5.4093e-08,         0.023696,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000151
       473, 7230.947,   0.0025,        0.0002188,       2.7267e-06,         0.021883,       0.0169,       0.0109,       0.0084,      0.00894,       0.0113,      0.00131,        0.0002378,       3.7493e-08,          0.02378,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000184
       474, 7246.194,   0.0025,       0.00021404,       3.3055e-06,         0.021407,       0.0167,       0.0108,      0.00822,      0.00896,       0.0112,      0.00145,       0.00023704,        3.049e-08,         0.023704,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000138
       475, 7261.460,   0.0025,       0.00021234,       3.9557e-06,         0.021238,       0.0166,       0.0108,      0.00834,      0.00885,       0.0111,      0.00158,       0.00023755,       3.9788e-08,         0.023755,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,      0.00014
       476, 7276.701,   0.0025,       0.00021486,       3.4232e-06,          0.02149,       0.0167,       0.0107,      0.00838,      0.00897,       0.0112,      0.00147,       0.00023685,       2.9176e-08,         0.023685,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000146
       477, 7291.955,   0.0025,       0.00022091,       5.0534e-06,         0.022096,       0.0169,        0.011,      0.00848,      0.00894,       0.0113,      0.00179,       0.00023669,       3.9807e-08,         0.023669,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000148
       478, 7307.215,   0.0025,       0.00021732,       2.2799e-06,         0.021735,       0.0167,       0.0109,      0.00837,      0.00907,       0.0113,       0.0012,       0.00023611,       2.7041e-08,         0.023611,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,     0.000163
       479, 7322.492,   0.0025,       0.00021348,       3.2435e-06,         0.021351,       0.0167,       0.0108,      0.00823,       0.0088,       0.0111,      0.00144,        0.0002363,        2.867e-08,          0.02363,       0.0168,       0.0105,       0.0114,       0.0112,       0.0125,      0.00015
       480, 7337.791,   0.0025,       0.00021701,       3.3934e-06,         0.021705,       0.0168,       0.0109,      0.00822,      0.00888,       0.0112,      0.00147,       0.00023574,       4.1984e-08,         0.023574,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000191
       481, 7353.061,   0.0025,       0.00021552,       2.8309e-06,         0.021555,       0.0167,        0.011,      0.00835,      0.00876,       0.0112,      0.00134,       0.00023567,       8.5887e-08,         0.023567,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000197
       482, 7368.306,   0.0025,       0.00022134,       5.5973e-06,         0.022139,        0.017,        0.011,      0.00836,       0.0091,       0.0114,      0.00189,       0.00023572,       2.7809e-08,         0.023572,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,      0.00015
       483, 7383.571,   0.0025,       0.00021595,        4.088e-06,         0.021599,       0.0168,       0.0108,      0.00823,       0.0089,       0.0112,      0.00161,       0.00023514,       4.6483e-08,         0.023514,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000151
       484, 7398.837,   0.0025,       0.00021942,       5.2631e-06,         0.021947,       0.0171,        0.011,      0.00818,      0.00869,       0.0112,      0.00183,       0.00023519,       8.1656e-08,         0.023519,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000275
       485, 7414.078,   0.0025,       0.00021732,       3.6662e-06,         0.021736,       0.0168,       0.0109,      0.00839,       0.0089,       0.0113,      0.00153,       0.00023521,       5.4287e-08,         0.023521,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000151
       486, 7429.328,   0.0025,       0.00020776,       3.2443e-06,         0.020779,       0.0165,       0.0106,      0.00814,      0.00868,        0.011,      0.00144,       0.00023506,       2.5863e-08,         0.023506,       0.0168,       0.0105,       0.0113,       0.0111,       0.0124,     0.000135
       487, 7444.894,   0.0025,       0.00021149,       3.5872e-06,         0.021153,       0.0166,       0.0108,      0.00811,      0.00884,       0.0111,      0.00151,       0.00023446,       5.0047e-08,         0.023446,       0.0167,       0.0105,       0.0113,       0.0111,       0.0124,     0.000155
       488, 7460.179,   0.0025,       0.00021193,       3.6596e-06,         0.021197,       0.0167,       0.0107,      0.00824,      0.00876,       0.0111,      0.00152,       0.00023485,       4.0808e-08,         0.023485,       0.0168,       0.0105,       0.0113,       0.0112,       0.0124,     0.000188
       489, 7475.427,   0.0025,       0.00021373,       3.7461e-06,         0.021376,       0.0167,       0.0108,      0.00817,      0.00889,       0.0111,      0.00154,       0.00023459,        4.349e-08,         0.023459,       0.0167,       0.0104,       0.0113,       0.0111,       0.0124,     0.000151
       490, 7490.680,   0.0025,        0.0002242,       2.7214e-06,         0.022423,       0.0169,       0.0111,      0.00848,      0.00926,       0.0114,      0.00132,       0.00023441,       2.9412e-08,         0.023441,       0.0167,       0.0104,       0.0113,       0.0111,       0.0124,     0.000145
       491, 7505.960,   0.0025,       0.00022065,       3.5469e-06,         0.022069,       0.0169,        0.011,      0.00832,      0.00906,       0.0113,       0.0015,       0.00023435,       5.2874e-08,         0.023435,       0.0167,       0.0104,       0.0113,       0.0111,       0.0124,     0.000164
       492, 7521.210,   0.0025,       0.00022138,       4.2447e-06,         0.022142,       0.0169,        0.011,      0.00841,      0.00915,       0.0114,      0.00164,       0.00023427,        2.878e-08,         0.023427,       0.0167,       0.0104,       0.0113,       0.0111,       0.0124,     0.000138
