epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Br_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Br_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        49,  758.338,     0.01,        0.0015656,       3.4295e-05,           0.1566,       0.0405,       0.0308,       0.0252,        0.027,       0.0309,      0.00458,        0.0011024,       9.3415e-07,          0.11024,       0.0329,       0.0234,       0.0243,        0.025,       0.0264,     0.000808
        50,  773.582,     0.01,        0.0016609,       5.6245e-05,          0.16614,       0.0433,       0.0327,       0.0244,        0.026,       0.0316,      0.00598,        0.0010869,       2.3544e-07,          0.10869,       0.0328,       0.0233,       0.0241,       0.0247,       0.0262,     0.000447
        51,  788.832,     0.01,        0.0013209,       2.3415e-05,          0.13211,       0.0364,       0.0267,       0.0242,       0.0269,       0.0286,      0.00386,        0.0010653,       2.7384e-07,          0.10653,       0.0325,       0.0231,       0.0239,       0.0245,        0.026,     0.000475
        52,  804.062,     0.01,         0.001262,       1.4983e-05,          0.12622,       0.0359,       0.0263,       0.0239,       0.0255,       0.0279,      0.00307,        0.0010457,       1.2614e-07,          0.10457,       0.0322,       0.0229,       0.0237,       0.0242,       0.0258,     0.000342
        53,  819.327,     0.01,        0.0013352,       2.0978e-05,          0.13354,       0.0381,       0.0276,       0.0235,       0.0248,       0.0285,      0.00365,        0.0010288,       8.8802e-07,          0.10288,        0.032,       0.0227,       0.0235,        0.024,       0.0256,     0.000799
        54,  834.574,     0.01,        0.0012818,       3.7112e-05,          0.12822,       0.0369,       0.0271,       0.0234,       0.0245,        0.028,      0.00486,        0.0010107,       4.1484e-07,          0.10107,       0.0317,       0.0225,       0.0233,       0.0238,       0.0254,     0.000571
        55,  849.836,     0.01,        0.0012527,       2.3664e-05,          0.12529,       0.0362,       0.0263,       0.0236,       0.0248,       0.0277,      0.00388,       0.00099706,       2.1213e-07,         0.099706,       0.0315,       0.0224,       0.0231,       0.0237,       0.0252,     0.000428
        56,  865.111,     0.01,        0.0012354,       2.1201e-05,          0.12356,       0.0359,       0.0263,       0.0228,       0.0251,       0.0275,      0.00363,       0.00097585,       1.9969e-07,         0.097585,       0.0313,       0.0222,       0.0229,       0.0235,        0.025,     0.000408
        57,  880.389,     0.01,        0.0013946,       3.5164e-05,           0.1395,       0.0389,       0.0287,       0.0237,       0.0254,       0.0292,      0.00472,       0.00096591,       1.0462e-07,         0.096591,       0.0311,       0.0221,       0.0228,       0.0234,       0.0249,     0.000307
        58,  895.658,     0.01,        0.0012924,       2.7016e-05,          0.12927,       0.0376,       0.0275,       0.0224,       0.0243,        0.028,      0.00412,       0.00095392,       2.8114e-07,         0.095392,       0.0309,       0.0219,       0.0226,       0.0232,       0.0247,      0.00047
        59,  910.883,     0.01,        0.0012814,        1.908e-05,          0.12816,       0.0374,       0.0272,       0.0227,       0.0245,       0.0279,      0.00348,       0.00094139,       2.7016e-07,         0.094139,       0.0308,       0.0218,       0.0225,       0.0231,       0.0245,     0.000457
        60,  926.147,     0.01,        0.0012785,       2.8683e-05,          0.12787,       0.0367,       0.0268,       0.0234,       0.0249,       0.0279,      0.00427,       0.00092956,       9.7732e-07,         0.092957,       0.0306,       0.0217,       0.0224,        0.023,       0.0244,     0.000833
        61,  941.370,     0.01,        0.0012806,       1.8453e-05,          0.12808,       0.0372,       0.0272,       0.0233,       0.0242,       0.0279,      0.00343,       0.00091921,       6.9255e-07,         0.091921,       0.0304,       0.0216,       0.0222,       0.0229,       0.0243,     0.000708
        62,  956.623,     0.01,        0.0012121,       1.7458e-05,          0.12123,       0.0361,       0.0265,        0.022,       0.0241,       0.0272,      0.00333,         0.000904,       4.0214e-07,           0.0904,       0.0302,       0.0214,        0.022,       0.0227,       0.0241,     0.000553
        63,  971.855,     0.01,        0.0011256,       1.7252e-05,          0.11258,       0.0341,       0.0255,       0.0218,       0.0237,       0.0263,      0.00331,       0.00089179,       1.7537e-07,         0.089179,         0.03,       0.0213,       0.0219,       0.0226,        0.024,     0.000384
        64,  987.159,     0.01,        0.0011038,       2.7023e-05,          0.11041,       0.0345,       0.0251,       0.0217,       0.0226,        0.026,      0.00413,       0.00087562,       5.0368e-07,         0.087562,       0.0298,       0.0211,       0.0217,       0.0224,       0.0238,     0.000621
        65, 1002.430,     0.01,        0.0013069,        3.508e-05,          0.13073,       0.0382,       0.0285,       0.0219,       0.0238,       0.0281,      0.00471,        0.0008655,       1.3557e-07,          0.08655,       0.0297,        0.021,       0.0216,       0.0223,       0.0236,     0.000351
        66, 1017.692,     0.01,        0.0011128,       3.3462e-05,          0.11131,       0.0348,       0.0252,       0.0214,       0.0227,        0.026,      0.00459,       0.00085642,       1.7091e-07,         0.085642,       0.0295,       0.0209,       0.0214,       0.0221,       0.0235,     0.000378
        67, 1032.941,     0.01,         0.001122,       4.3835e-05,          0.11225,       0.0347,        0.025,       0.0215,       0.0235,       0.0262,      0.00526,       0.00084728,        9.085e-07,         0.084729,       0.0294,       0.0208,       0.0213,        0.022,       0.0234,     0.000781
        68, 1048.189,     0.01,        0.0011296,       4.4246e-05,            0.113,       0.0346,        0.025,       0.0216,       0.0239,       0.0263,       0.0053,       0.00083654,       4.2311e-07,         0.083654,       0.0292,       0.0207,       0.0212,        0.022,       0.0233,     0.000556
        69, 1063.445,     0.01,        0.0011009,       1.5944e-05,          0.11011,       0.0345,       0.0251,       0.0212,       0.0228,       0.0259,      0.00318,       0.00082704,       1.9962e-07,         0.082704,       0.0291,       0.0205,       0.0212,       0.0218,       0.0231,     0.000406
        70, 1078.698,     0.01,        0.0010754,       1.9961e-05,          0.10756,       0.0337,       0.0245,       0.0213,       0.0232,       0.0257,      0.00354,       0.00082045,       4.3426e-07,         0.082045,       0.0289,       0.0204,       0.0211,       0.0218,       0.0231,     0.000559
        71, 1093.941,     0.01,        0.0013266,       3.7545e-05,          0.13269,       0.0394,       0.0287,       0.0212,       0.0232,       0.0281,      0.00488,       0.00081584,       2.4175e-07,         0.081584,       0.0289,       0.0204,        0.021,       0.0217,        0.023,     0.000443
        72, 1109.208,     0.01,        0.0011747,       5.3329e-05,          0.11752,       0.0367,       0.0266,       0.0208,        0.022,       0.0266,      0.00577,       0.00080961,       4.2572e-07,         0.080961,       0.0288,       0.0203,       0.0209,       0.0217,       0.0229,     0.000563
        73, 1124.482,     0.01,       0.00098909,       2.7323e-05,         0.098937,       0.0328,       0.0234,       0.0204,       0.0216,       0.0246,      0.00417,       0.00079796,        3.538e-07,         0.079796,       0.0286,       0.0202,       0.0207,       0.0215,       0.0228,     0.000521
        74, 1139.742,     0.01,        0.0010959,       1.5545e-05,          0.10961,       0.0339,       0.0242,       0.0216,       0.0239,       0.0259,      0.00315,       0.00079273,       3.9465e-07,         0.079273,       0.0285,       0.0201,       0.0207,       0.0215,       0.0227,     0.000543
        75, 1154.974,     0.01,       0.00099184,       3.6317e-05,          0.09922,        0.033,       0.0237,       0.0203,       0.0212,       0.0245,       0.0048,       0.00078314,       2.5423e-07,         0.078314,       0.0283,         0.02,       0.0206,       0.0214,       0.0226,     0.000452
        76, 1170.220,     0.01,        0.0010869,       2.3947e-05,          0.10871,       0.0346,        0.025,       0.0206,       0.0223,       0.0256,       0.0039,       0.00077412,       7.4383e-07,         0.077413,       0.0282,       0.0199,       0.0205,       0.0212,       0.0224,     0.000739
        77, 1185.445,     0.01,        0.0011038,       2.7407e-05,          0.11041,       0.0343,       0.0252,       0.0216,       0.0228,        0.026,      0.00417,       0.00076997,       3.0236e-07,         0.076998,       0.0281,       0.0198,       0.0204,       0.0212,       0.0224,     0.000466
        78, 1200.704,     0.01,       0.00095894,       1.7195e-05,         0.095911,       0.0322,       0.0235,       0.0197,       0.0213,       0.0242,      0.00331,       0.00076095,       6.0575e-07,         0.076095,        0.028,       0.0197,       0.0203,       0.0211,       0.0223,     0.000665
        79, 1215.941,     0.01,        0.0010339,       2.7176e-05,          0.10342,       0.0334,        0.024,       0.0207,       0.0223,       0.0251,      0.00416,       0.00075315,       4.6894e-07,         0.075316,       0.0279,       0.0196,       0.0202,        0.021,       0.0222,     0.000582
        80, 1231.183,     0.01,       0.00096861,         9.29e-06,          0.09687,       0.0321,        0.023,       0.0204,       0.0218,       0.0243,      0.00243,        0.0007462,       1.5849e-07,          0.07462,       0.0277,       0.0195,       0.0202,       0.0209,       0.0221,     0.000365
        81, 1246.438,     0.01,        0.0010335,       1.6226e-05,          0.10336,       0.0338,       0.0247,       0.0202,       0.0215,        0.025,      0.00321,       0.00074051,       2.4848e-07,         0.074051,       0.0276,       0.0194,       0.0201,       0.0209,        0.022,     0.000442
        82, 1261.694,     0.01,       0.00096051,       2.2085e-05,         0.096073,       0.0323,       0.0234,       0.0201,       0.0209,       0.0242,      0.00374,       0.00073191,       1.7663e-07,         0.073191,       0.0275,       0.0193,         0.02,       0.0208,       0.0219,     0.000387
        83, 1276.941,     0.01,       0.00093465,       2.4344e-05,         0.093489,       0.0321,       0.0231,       0.0193,       0.0208,       0.0238,      0.00394,       0.00072388,       7.4749e-07,         0.072389,       0.0274,       0.0192,       0.0199,       0.0207,       0.0218,     0.000724
        84, 1292.188,     0.01,       0.00095478,       2.9526e-05,         0.095508,       0.0321,       0.0235,       0.0196,       0.0212,       0.0241,      0.00431,       0.00071628,       3.8037e-07,         0.071628,       0.0272,       0.0191,       0.0199,       0.0206,       0.0217,     0.000541
        85, 1307.426,     0.01,        0.0010068,       3.0472e-05,          0.10071,       0.0333,       0.0242,       0.0199,       0.0215,       0.0247,       0.0044,       0.00070966,       2.4249e-07,         0.070966,       0.0272,       0.0191,       0.0198,       0.0205,       0.0216,     0.000444
        86, 1322.692,     0.01,        0.0009463,       1.7088e-05,         0.094647,       0.0323,       0.0231,       0.0194,        0.021,        0.024,      0.00329,       0.00070626,       1.7199e-07,         0.070626,       0.0271,        0.019,       0.0197,       0.0205,       0.0216,     0.000376
        87, 1337.936,     0.01,         0.001024,       2.0004e-05,          0.10242,       0.0338,        0.024,       0.0202,       0.0215,       0.0249,      0.00356,       0.00070358,       5.5076e-07,         0.070358,        0.027,       0.0189,       0.0197,       0.0204,       0.0215,     0.000627
        88, 1353.198,     0.01,       0.00090141,          1.3e-05,         0.090154,       0.0313,       0.0223,       0.0192,        0.021,       0.0234,      0.00287,       0.00070092,        2.703e-07,         0.070092,       0.0269,       0.0188,       0.0196,       0.0203,       0.0214,     0.000457
        89, 1368.466,     0.01,       0.00097345,       2.9231e-05,         0.097375,       0.0327,       0.0235,       0.0192,       0.0218,       0.0243,      0.00431,       0.00069333,       3.7295e-07,         0.069333,       0.0268,       0.0188,       0.0195,       0.0202,       0.0213,     0.000513
        90, 1383.740,     0.01,       0.00091365,       1.3125e-05,         0.091378,       0.0317,       0.0226,       0.0188,       0.0208,       0.0235,      0.00289,       0.00068836,       3.3945e-07,         0.068836,       0.0267,       0.0187,       0.0194,       0.0201,       0.0212,     0.000509
        91, 1398.974,     0.01,       0.00093295,       3.2756e-05,         0.093327,       0.0322,       0.0228,       0.0191,        0.021,       0.0238,      0.00457,       0.00068026,       2.9356e-07,         0.068026,       0.0266,       0.0186,       0.0194,       0.0201,       0.0212,     0.000475
