epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
       512, 9549.613,     0.01,       0.00020423,       1.8125e-05,         0.020442,        0.016,        0.011,      0.00854,      0.00941,       0.0113,      0.00347,        0.0001761,       2.5068e-08,          0.01761,       0.0145,      0.00948,      0.00895,       0.0092,       0.0105,     0.000132
       513, 9568.194,     0.01,       0.00021022,       8.6476e-06,         0.021031,       0.0168,       0.0115,      0.00822,      0.00861,       0.0113,      0.00239,       0.00017531,       2.5158e-08,         0.017531,       0.0145,      0.00947,      0.00892,      0.00916,       0.0105,     0.000132
       514, 9586.830,     0.01,       0.00022429,       9.5663e-06,         0.022439,       0.0176,       0.0119,      0.00826,      0.00865,       0.0116,      0.00251,       0.00017476,       2.9116e-08,         0.017476,       0.0145,      0.00946,      0.00888,      0.00917,       0.0105,     0.000139
       515, 9605.453,     0.01,       0.00022924,       9.4913e-06,         0.022933,       0.0175,        0.012,      0.00858,        0.009,       0.0118,      0.00251,       0.00017502,       6.6063e-08,         0.017502,       0.0145,      0.00945,      0.00889,      0.00915,       0.0105,     0.000209
       516, 9624.027,     0.01,       0.00021496,       9.7127e-06,         0.021506,       0.0168,       0.0114,      0.00868,      0.00891,       0.0115,      0.00254,       0.00017501,       2.7607e-08,         0.017501,       0.0145,      0.00945,      0.00889,      0.00914,       0.0105,     0.000139
       517, 9642.598,     0.01,       0.00025391,       1.6918e-05,         0.025408,       0.0177,       0.0122,       0.0103,       0.0103,       0.0126,      0.00335,       0.00017509,       5.2359e-08,         0.017509,       0.0145,      0.00946,      0.00892,      0.00909,       0.0105,     0.000186
       518, 9661.211,     0.01,       0.00024226,       1.5526e-05,         0.024242,       0.0176,       0.0122,      0.00916,      0.00992,       0.0122,      0.00321,       0.00017633,       2.5159e-08,         0.017633,       0.0145,      0.00947,      0.00891,      0.00919,       0.0105,     0.000134
       519, 9679.776,     0.01,       0.00021138,       8.0375e-06,         0.021146,       0.0167,       0.0114,      0.00828,      0.00898,       0.0114,      0.00231,       0.00017533,       3.8132e-08,         0.017533,       0.0145,      0.00945,      0.00886,      0.00916,       0.0105,     0.000163
       520, 9698.373,     0.01,       0.00019403,       8.2124e-06,         0.019411,       0.0159,       0.0111,       0.0081,      0.00858,       0.0109,      0.00233,       0.00017454,       2.7024e-08,         0.017454,       0.0144,      0.00942,      0.00885,      0.00914,       0.0105,     0.000137
       521, 9716.939,     0.01,       0.00024419,        1.118e-05,          0.02443,       0.0184,       0.0125,      0.00837,        0.009,       0.0121,      0.00272,         0.000174,        5.563e-08,           0.0174,       0.0144,      0.00942,      0.00884,       0.0091,       0.0105,     0.000194
       522, 9735.561,     0.01,       0.00023477,       1.1742e-05,         0.023489,       0.0174,        0.012,      0.00897,      0.00972,        0.012,      0.00279,       0.00017493,        5.128e-08,         0.017493,       0.0145,      0.00944,      0.00892,      0.00914,       0.0105,     0.000187
       523, 9754.151,     0.01,       0.00019471,       9.4943e-06,         0.019481,       0.0157,       0.0108,      0.00854,       0.0089,        0.011,       0.0025,       0.00017443,       4.0199e-08,         0.017443,       0.0144,      0.00942,       0.0089,      0.00912,       0.0105,     0.000165
       524, 9772.713,     0.01,       0.00020846,       7.5022e-06,         0.020853,       0.0168,       0.0116,      0.00803,      0.00851,       0.0112,      0.00223,       0.00017383,       3.5158e-08,         0.017383,       0.0144,       0.0094,      0.00887,       0.0091,       0.0104,     0.000158
       525, 9791.338,     0.01,       0.00020065,       1.3168e-05,         0.020078,       0.0163,        0.011,       0.0083,      0.00858,       0.0111,      0.00295,       0.00017318,       3.9071e-08,         0.017318,       0.0144,      0.00939,      0.00886,      0.00909,       0.0104,     0.000163
       526, 9809.902,     0.01,       0.00022046,       1.6588e-05,         0.022063,       0.0169,       0.0116,      0.00832,      0.00976,       0.0116,      0.00331,       0.00017417,         2.72e-08,         0.017417,       0.0144,       0.0094,      0.00888,      0.00914,       0.0105,     0.000136
       527, 9828.572,     0.01,       0.00022408,       8.4776e-06,         0.022416,       0.0174,        0.012,      0.00833,      0.00885,       0.0116,      0.00237,        0.0001733,       3.7726e-08,          0.01733,       0.0144,       0.0094,      0.00886,      0.00915,       0.0105,      0.00016
       528, 9847.191,     0.01,       0.00020047,       9.1666e-06,         0.020056,       0.0166,       0.0113,      0.00778,      0.00817,        0.011,      0.00246,       0.00017318,       2.8757e-08,         0.017318,       0.0144,      0.00939,      0.00885,      0.00914,       0.0104,      0.00014
       529, 9865.758,     0.01,       0.00021057,       1.4788e-05,         0.021072,       0.0165,       0.0115,      0.00863,      0.00882,       0.0114,      0.00313,       0.00017267,       2.5483e-08,         0.017267,       0.0144,      0.00939,      0.00884,      0.00911,       0.0104,     0.000131
       530, 9884.355,     0.01,       0.00023517,        1.493e-05,         0.023531,        0.018,       0.0122,      0.00851,      0.00886,       0.0119,      0.00315,       0.00017254,       6.0903e-08,         0.017254,       0.0144,      0.00939,      0.00883,      0.00909,       0.0104,     0.000201
       531, 9902.957,     0.01,       0.00021937,       2.1468e-05,         0.021958,       0.0169,       0.0116,      0.00876,      0.00927,       0.0116,      0.00377,       0.00017274,       3.2577e-08,         0.017274,       0.0144,      0.00939,      0.00884,      0.00908,       0.0104,     0.000148
       532, 9921.573,     0.01,       0.00022918,       7.3343e-06,         0.022925,       0.0173,       0.0118,      0.00856,      0.00975,       0.0118,       0.0022,       0.00017275,       4.5608e-08,         0.017275,       0.0144,      0.00939,      0.00887,      0.00909,       0.0104,     0.000178
       533, 9940.161,     0.01,       0.00019187,       7.9647e-06,         0.019195,        0.016,       0.0109,      0.00792,      0.00834,       0.0108,      0.00229,       0.00017183,       3.2212e-08,         0.017183,       0.0144,      0.00937,      0.00881,      0.00904,       0.0104,      0.00015
       534, 9958.725,     0.01,       0.00022385,       1.5159e-05,           0.0224,       0.0176,       0.0119,      0.00831,      0.00859,       0.0116,      0.00316,        0.0001717,       4.1998e-08,          0.01717,       0.0144,      0.00936,       0.0088,      0.00903,       0.0104,     0.000165
       535, 9977.412,     0.01,       0.00020881,       8.7473e-06,          0.02089,       0.0167,       0.0114,      0.00822,      0.00876,       0.0113,      0.00241,       0.00017205,       6.7554e-08,         0.017205,       0.0144,      0.00936,       0.0088,      0.00906,       0.0104,     0.000213
       536, 9996.004,     0.01,       0.00018239,       1.2235e-05,         0.018251,       0.0154,       0.0106,      0.00798,      0.00831,       0.0106,      0.00285,       0.00017123,       4.5202e-08,         0.017123,       0.0144,      0.00935,      0.00876,      0.00902,       0.0104,     0.000175
       537, 10014.588,     0.01,       0.00021255,        1.289e-05,         0.021268,       0.0167,       0.0117,      0.00829,      0.00883,       0.0114,      0.00292,       0.00017105,       3.4744e-08,         0.017105,       0.0143,      0.00934,      0.00876,      0.00902,       0.0104,     0.000152
       538, 10033.201,     0.01,       0.00021289,       9.9482e-06,         0.021299,       0.0169,       0.0117,      0.00821,      0.00855,       0.0113,      0.00256,       0.00017111,        4.072e-08,         0.017111,       0.0143,      0.00934,      0.00876,      0.00902,       0.0104,     0.000165
       539, 10051.777,     0.01,       0.00019446,       5.4656e-06,         0.019452,       0.0161,       0.0109,      0.00809,      0.00854,       0.0109,       0.0019,       0.00017097,       2.3118e-08,         0.017097,       0.0143,      0.00933,      0.00877,      0.00903,       0.0104,     0.000126
       540, 10070.402,     0.01,       0.00023867,       1.6587e-05,         0.023884,       0.0176,       0.0122,      0.00917,      0.00952,       0.0121,      0.00332,       0.00017115,        1.059e-07,         0.017115,       0.0143,      0.00933,      0.00882,      0.00901,       0.0104,      0.00027
       541, 10089.016,     0.01,       0.00020933,       1.6813e-05,          0.02095,       0.0166,       0.0113,      0.00852,      0.00887,       0.0113,      0.00333,       0.00017088,       2.5265e-08,         0.017088,       0.0143,      0.00932,      0.00882,      0.00899,       0.0104,      0.00013
       542, 10107.583,     0.01,       0.00021075,       1.2214e-05,         0.021088,       0.0167,       0.0112,      0.00854,      0.00893,       0.0113,      0.00284,       0.00017162,       2.9904e-08,         0.017162,       0.0143,      0.00932,      0.00882,      0.00906,       0.0104,      0.00014
       543, 10126.196,     0.01,       0.00022598,       1.4375e-05,         0.022612,       0.0173,       0.0118,      0.00869,      0.00925,       0.0117,      0.00309,       0.00017055,       3.6285e-08,         0.017055,       0.0143,      0.00932,      0.00881,      0.00901,       0.0104,     0.000159
       544, 10144.779,     0.01,       0.00021907,       1.2274e-05,         0.021919,       0.0171,       0.0119,       0.0083,      0.00874,       0.0115,      0.00285,       0.00017015,       2.6335e-08,         0.017015,       0.0143,      0.00931,      0.00879,      0.00897,       0.0103,     0.000135
       545, 10163.393,     0.01,       0.00020609,       8.3485e-06,         0.020617,       0.0167,       0.0114,      0.00804,      0.00844,       0.0111,      0.00234,       0.00017044,        7.507e-08,         0.017044,       0.0143,      0.00931,      0.00879,      0.00901,       0.0104,     0.000222
       546, 10181.998,     0.01,       0.00020205,       7.0572e-06,         0.020212,       0.0161,       0.0114,      0.00819,      0.00885,       0.0111,      0.00216,        0.0001705,       2.8018e-08,         0.017051,       0.0143,       0.0093,      0.00877,      0.00899,       0.0103,     0.000138
       547, 10200.571,     0.01,       0.00023306,       1.1119e-05,         0.023318,        0.018,       0.0121,       0.0084,      0.00874,       0.0118,      0.00271,       0.00017012,       4.7166e-08,         0.017012,       0.0143,       0.0093,      0.00877,      0.00899,       0.0103,     0.000175
       548, 10219.170,     0.01,       0.00021163,        1.582e-05,         0.021179,       0.0169,       0.0114,      0.00831,      0.00872,       0.0113,      0.00324,       0.00017018,       3.0385e-08,         0.017018,       0.0143,       0.0093,      0.00879,      0.00899,       0.0103,     0.000143
       549, 10237.756,     0.01,       0.00021932,       1.2989e-05,         0.021945,        0.017,       0.0115,      0.00851,      0.00936,       0.0116,      0.00293,       0.00016989,       4.0735e-08,         0.016989,       0.0143,      0.00929,      0.00877,      0.00902,       0.0103,     0.000166
       550, 10256.387,     0.01,       0.00020281,       7.0615e-06,         0.020288,       0.0163,        0.011,      0.00861,      0.00869,       0.0111,      0.00216,       0.00016962,       5.4472e-08,         0.016962,       0.0143,      0.00929,      0.00876,      0.00901,       0.0103,     0.000191
       551, 10275.016,     0.01,       0.00021219,       6.1579e-06,         0.021226,        0.017,       0.0116,      0.00804,      0.00855,       0.0113,      0.00202,       0.00016872,       3.7982e-08,         0.016872,       0.0143,      0.00928,      0.00872,      0.00896,       0.0103,      0.00016
       552, 10293.581,     0.01,       0.00019116,       5.9739e-06,         0.019122,       0.0161,        0.011,      0.00768,      0.00813,       0.0107,      0.00199,       0.00016859,       3.3033e-08,         0.016859,       0.0143,      0.00927,      0.00872,      0.00894,       0.0103,     0.000151
       553, 10312.178,     0.01,       0.00021025,       9.1614e-06,         0.021034,       0.0166,       0.0115,       0.0082,      0.00895,       0.0113,      0.00246,       0.00016912,       1.1794e-07,         0.016912,       0.0143,      0.00927,      0.00875,      0.00894,       0.0103,      0.00028
       554, 10330.780,     0.01,       0.00022194,       1.1979e-05,         0.022206,       0.0177,       0.0119,      0.00788,      0.00826,       0.0115,      0.00282,       0.00016821,       2.8469e-08,         0.016821,       0.0143,      0.00927,      0.00871,      0.00891,       0.0103,      0.00014
       555, 10349.367,     0.01,       0.00018894,       4.3049e-06,         0.018898,       0.0159,       0.0108,      0.00796,      0.00834,       0.0107,      0.00167,       0.00016816,        3.967e-08,         0.016816,       0.0142,      0.00926,      0.00871,      0.00892,       0.0103,     0.000167
       556, 10367.962,     0.01,       0.00022146,       1.0627e-05,         0.022157,       0.0173,        0.012,      0.00839,      0.00853,       0.0115,      0.00265,       0.00016844,       6.7827e-08,         0.016844,       0.0142,      0.00925,      0.00876,      0.00893,       0.0103,     0.000214
       557, 10386.553,     0.01,       0.00019765,       1.5824e-05,          0.01978,       0.0162,        0.011,      0.00815,      0.00866,        0.011,      0.00324,       0.00016843,       2.3519e-08,         0.016843,       0.0143,      0.00925,      0.00875,      0.00893,       0.0103,     0.000128
       558, 10405.157,     0.01,       0.00019929,       5.3982e-06,         0.019935,       0.0164,       0.0112,      0.00808,      0.00828,        0.011,      0.00189,        0.0001682,       2.6958e-08,          0.01682,       0.0142,      0.00924,      0.00874,      0.00894,       0.0103,     0.000136
       559, 10423.752,     0.01,        0.0001977,       8.6815e-06,         0.019778,       0.0164,       0.0111,      0.00788,       0.0083,       0.0109,       0.0024,       0.00016764,       2.9932e-08,         0.016764,       0.0142,      0.00924,      0.00871,      0.00892,       0.0103,     0.000136
       560, 10442.319,     0.01,       0.00020264,       5.6918e-06,         0.020269,       0.0164,       0.0112,      0.00818,      0.00863,       0.0111,      0.00194,       0.00016739,       3.5216e-08,         0.016739,       0.0142,      0.00923,       0.0087,       0.0089,       0.0103,     0.000155
       561, 10460.905,     0.01,       0.00020924,       7.8295e-06,         0.020932,       0.0169,       0.0115,      0.00789,      0.00859,       0.0112,      0.00228,       0.00016747,       2.6174e-08,         0.016747,       0.0142,      0.00922,       0.0087,      0.00889,       0.0103,     0.000131
       562, 10479.522,     0.01,       0.00020375,       9.7806e-06,         0.020384,       0.0167,       0.0115,       0.0079,      0.00826,       0.0111,      0.00255,       0.00016723,       4.7068e-08,         0.016723,       0.0142,      0.00921,      0.00869,      0.00887,       0.0102,     0.000177
       563, 10498.117,     0.01,       0.00021869,       5.0363e-06,         0.021874,       0.0171,       0.0118,      0.00833,      0.00889,       0.0115,      0.00182,        0.0001667,       9.2415e-08,          0.01667,       0.0142,      0.00921,      0.00866,      0.00886,       0.0102,     0.000247
       564, 10516.689,     0.01,       0.00020804,       9.9598e-06,         0.020814,       0.0164,       0.0114,      0.00839,      0.00909,       0.0113,      0.00256,       0.00016673,       4.6233e-08,         0.016673,       0.0142,      0.00921,      0.00867,      0.00887,       0.0102,     0.000178
       565, 10535.241,     0.01,       0.00020465,       9.1794e-06,         0.020474,       0.0165,       0.0114,      0.00823,      0.00846,       0.0111,      0.00246,       0.00016635,       5.0807e-08,         0.016635,       0.0142,       0.0092,      0.00865,      0.00888,       0.0102,     0.000185
       566, 10553.835,     0.01,       0.00021141,       1.4646e-05,         0.021155,       0.0169,       0.0115,      0.00818,      0.00866,       0.0113,      0.00312,       0.00016653,       3.2089e-08,         0.016653,       0.0142,       0.0092,      0.00867,      0.00891,       0.0102,     0.000145
       567, 10572.429,     0.01,       0.00022769,       1.5873e-05,         0.022785,       0.0178,       0.0122,      0.00809,      0.00854,       0.0116,      0.00324,       0.00016616,        4.689e-08,         0.016617,       0.0142,       0.0092,      0.00864,      0.00886,       0.0102,     0.000174
       568, 10591.046,     0.01,        0.0001875,       7.6776e-06,         0.018758,       0.0157,       0.0108,      0.00781,      0.00834,       0.0107,      0.00225,       0.00016574,       4.3913e-08,         0.016575,       0.0142,       0.0092,      0.00864,      0.00884,       0.0102,     0.000169
       569, 10609.678,     0.01,        0.0002011,       7.0221e-06,         0.020117,       0.0162,       0.0111,      0.00851,      0.00865,       0.0111,      0.00215,       0.00016543,       2.9019e-08,         0.016543,       0.0142,      0.00919,      0.00863,      0.00883,       0.0102,     0.000139
       570, 10628.245,     0.01,       0.00020529,       8.3674e-06,         0.020538,       0.0166,       0.0114,      0.00799,       0.0086,       0.0111,      0.00235,        0.0001658,       3.0467e-08,          0.01658,       0.0142,      0.00918,      0.00866,      0.00884,       0.0102,     0.000143
       571, 10646.838,     0.01,       0.00019531,       1.1471e-05,         0.019542,       0.0162,       0.0111,      0.00772,      0.00854,       0.0109,      0.00276,       0.00016543,       2.8922e-08,         0.016543,       0.0141,      0.00917,      0.00865,      0.00881,       0.0102,     0.000138
       572, 10665.471,     0.01,       0.00018929,       9.5236e-06,         0.018939,       0.0158,       0.0108,      0.00799,      0.00843,       0.0108,      0.00251,       0.00016508,        2.686e-08,         0.016508,       0.0141,      0.00917,      0.00863,      0.00879,       0.0102,     0.000134
       573, 10684.038,     0.01,       0.00019386,       6.9346e-06,         0.019393,       0.0161,       0.0109,      0.00804,      0.00827,       0.0108,      0.00214,       0.00016523,       2.6338e-08,         0.016523,       0.0141,      0.00916,      0.00866,      0.00881,       0.0102,     0.000135
       574, 10702.658,     0.01,       0.00024359,        1.847e-05,         0.024378,       0.0179,       0.0124,      0.00893,      0.00958,       0.0122,       0.0035,       0.00016593,       8.2837e-08,         0.016593,       0.0141,      0.00917,       0.0087,      0.00884,       0.0102,     0.000235
       575, 10721.270,     0.01,        0.0002138,       1.1086e-05,         0.021391,       0.0169,       0.0115,       0.0086,      0.00855,       0.0114,      0.00271,       0.00016636,        5.496e-08,         0.016636,       0.0141,      0.00917,      0.00868,      0.00883,       0.0102,     0.000194
       576, 10739.863,     0.01,       0.00023035,       2.3771e-05,         0.023059,        0.017,       0.0118,      0.00933,      0.00978,        0.012,      0.00397,       0.00016669,       4.4615e-08,         0.016669,       0.0141,      0.00918,      0.00874,       0.0088,       0.0102,     0.000174
       577, 10758.458,     0.01,       0.00023891,       2.0831e-05,         0.023912,       0.0171,       0.0119,       0.0102,      0.00981,       0.0122,      0.00371,       0.00016648,       1.1195e-07,         0.016649,       0.0141,      0.00918,      0.00872,      0.00881,       0.0102,     0.000272
       578, 10777.033,     0.01,       0.00020808,       1.4008e-05,         0.020822,       0.0167,       0.0113,      0.00814,      0.00871,       0.0112,      0.00305,       0.00016611,         3.34e-08,         0.016611,       0.0141,      0.00918,      0.00869,      0.00879,       0.0102,     0.000149
       579, 10795.606,    0.005,       0.00015245,       2.5939e-06,         0.015248,       0.0143,      0.00956,      0.00721,      0.00747,      0.00963,      0.00131,       0.00016591,       2.8766e-08,         0.016591,       0.0141,      0.00916,      0.00866,       0.0088,       0.0102,     0.000137
       580, 10814.255,    0.005,       0.00014077,       3.1948e-06,          0.01408,       0.0137,       0.0091,        0.007,      0.00722,      0.00926,      0.00145,       0.00016483,        3.338e-08,         0.016483,       0.0141,      0.00913,      0.00861,      0.00877,       0.0102,     0.000151
       581, 10832.842,    0.005,       0.00014376,       2.7754e-06,         0.014379,       0.0139,      0.00921,      0.00702,      0.00723,      0.00934,      0.00135,       0.00016409,       4.1732e-08,         0.016409,       0.0141,      0.00912,      0.00859,      0.00875,       0.0101,     0.000168
       582, 10851.440,    0.005,       0.00014274,       3.9131e-06,         0.014278,       0.0139,      0.00914,        0.007,      0.00729,      0.00932,      0.00161,       0.00016381,       5.9222e-08,         0.016381,       0.0141,      0.00911,      0.00858,      0.00875,       0.0101,     0.000202
       583, 10870.053,    0.005,       0.00014185,       3.1533e-06,         0.014188,       0.0139,      0.00914,      0.00687,      0.00722,      0.00928,      0.00144,       0.00016338,       4.6315e-08,         0.016338,       0.0141,       0.0091,      0.00856,      0.00876,       0.0101,     0.000176
       584, 10888.647,    0.005,       0.00014755,       2.2833e-06,         0.014757,        0.014,      0.00938,      0.00708,      0.00746,      0.00949,      0.00123,       0.00016307,       2.5947e-08,         0.016307,        0.014,      0.00909,      0.00855,      0.00876,       0.0101,     0.000127
       585, 10907.256,    0.005,       0.00014579,       1.9185e-06,         0.014581,       0.0139,      0.00929,      0.00709,      0.00741,      0.00943,      0.00113,       0.00016273,       3.0974e-08,         0.016273,        0.014,      0.00908,      0.00854,      0.00875,       0.0101,     0.000143
       586, 10925.842,    0.005,       0.00014429,       3.4221e-06,         0.014432,       0.0139,      0.00927,      0.00697,      0.00731,      0.00937,       0.0015,       0.00016235,       2.5994e-08,         0.016235,        0.014,      0.00907,      0.00853,      0.00874,       0.0101,     0.000131
       587, 10944.431,    0.005,       0.00014988,       4.8889e-06,         0.014993,       0.0141,      0.00943,      0.00716,       0.0075,      0.00956,       0.0018,       0.00016192,       2.7706e-08,         0.016192,        0.014,      0.00906,      0.00852,      0.00873,       0.0101,     0.000141
       588, 10963.032,    0.005,       0.00014616,       2.1897e-06,         0.014619,        0.014,      0.00932,      0.00699,      0.00736,      0.00943,       0.0012,       0.00016167,       2.7272e-08,         0.016167,        0.014,      0.00905,       0.0085,      0.00872,       0.0101,      0.00014
       589, 10981.643,    0.005,       0.00014686,       3.7989e-06,         0.014689,        0.014,       0.0094,      0.00712,       0.0073,      0.00946,      0.00159,       0.00016171,       3.9546e-08,         0.016171,        0.014,      0.00905,      0.00852,      0.00872,       0.0101,     0.000167
       590, 11000.243,    0.005,       0.00014699,       5.8435e-06,         0.014704,        0.014,      0.00934,      0.00716,      0.00732,      0.00946,      0.00196,       0.00016154,       2.6093e-08,         0.016154,        0.014,      0.00903,       0.0085,      0.00873,       0.0101,     0.000134
       591, 11018.810,    0.005,        0.0001522,       3.6243e-06,         0.015224,       0.0142,      0.00952,      0.00716,      0.00761,      0.00963,      0.00155,        0.0001614,       3.0122e-08,          0.01614,        0.014,      0.00903,       0.0085,      0.00873,       0.0101,     0.000142
       592, 11037.377,    0.005,       0.00015126,       2.3102e-06,         0.015128,       0.0143,      0.00954,      0.00712,      0.00741,      0.00959,      0.00124,       0.00016129,       2.5362e-08,         0.016129,        0.014,      0.00902,      0.00852,      0.00873,       0.0101,     0.000131
       593, 11055.979,    0.005,       0.00014996,       5.2038e-06,         0.015001,       0.0142,      0.00945,      0.00726,      0.00735,      0.00956,      0.00186,       0.00016081,       2.5904e-08,         0.016081,        0.014,      0.00901,       0.0085,      0.00871,         0.01,     0.000131
       594, 11074.575,    0.005,       0.00015514,       3.7134e-06,         0.015518,       0.0144,       0.0096,      0.00718,      0.00773,      0.00972,      0.00157,       0.00016065,       2.9463e-08,         0.016065,        0.014,      0.00901,       0.0085,      0.00872,         0.01,     0.000137
       595, 11093.211,    0.005,       0.00015743,       3.9138e-06,         0.015747,       0.0147,      0.00975,      0.00718,      0.00743,      0.00975,      0.00161,       0.00016046,       2.8811e-08,         0.016046,        0.014,        0.009,      0.00849,      0.00871,         0.01,     0.000135
       596, 11111.823,    0.005,       0.00015241,       4.4149e-06,         0.015245,       0.0143,      0.00957,      0.00716,      0.00746,      0.00962,      0.00171,       0.00016018,        5.584e-08,         0.016018,       0.0139,      0.00899,      0.00848,      0.00868,         0.01,     0.000191
       597, 11130.395,    0.005,       0.00016282,        4.253e-06,         0.016287,       0.0148,      0.00982,      0.00742,      0.00778,      0.00996,      0.00168,       0.00016004,       2.8436e-08,         0.016004,       0.0139,      0.00899,      0.00848,      0.00868,         0.01,     0.000133
       598, 11149.007,    0.005,       0.00015168,        3.669e-06,         0.015172,       0.0143,      0.00949,      0.00721,      0.00745,       0.0096,      0.00156,       0.00016013,       2.4487e-08,         0.016013,       0.0139,      0.00898,      0.00848,      0.00869,         0.01,     0.000129
       599, 11167.599,    0.005,       0.00015157,       3.6291e-06,          0.01516,       0.0142,       0.0096,      0.00719,      0.00739,       0.0096,      0.00154,       0.00015984,       3.2711e-08,         0.015984,       0.0139,      0.00898,      0.00848,      0.00868,         0.01,     0.000147
       600, 11186.214,    0.005,       0.00015521,       5.8409e-06,         0.015527,       0.0144,      0.00972,      0.00717,       0.0076,      0.00972,      0.00196,        0.0001596,        3.652e-08,          0.01596,       0.0139,      0.00898,      0.00847,      0.00869,         0.01,     0.000158
       601, 11204.809,    0.005,       0.00015377,       2.5289e-06,          0.01538,       0.0144,      0.00958,      0.00726,      0.00743,      0.00967,      0.00129,       0.00015953,       2.5009e-08,         0.015953,       0.0139,      0.00897,      0.00847,      0.00869,         0.01,      0.00013
       602, 11223.422,    0.005,       0.00015069,       3.7089e-06,         0.015073,       0.0143,      0.00951,      0.00704,      0.00736,      0.00955,      0.00157,       0.00015914,       2.6019e-08,         0.015914,       0.0139,      0.00895,      0.00847,      0.00867,         0.01,     0.000132
       603, 11242.068,    0.005,         0.000161,       4.2073e-06,         0.016104,       0.0148,      0.00985,      0.00721,      0.00761,      0.00987,      0.00167,       0.00015897,        2.693e-08,         0.015897,       0.0139,      0.00895,      0.00846,      0.00864,      0.00999,     0.000137
       604, 11260.674,    0.005,       0.00015912,       5.0932e-06,         0.015917,       0.0148,      0.00985,      0.00699,      0.00749,      0.00978,      0.00184,       0.00015869,       3.1364e-08,         0.015869,       0.0139,      0.00894,      0.00847,      0.00863,      0.00998,     0.000147
       605, 11279.234,    0.005,       0.00014911,       3.5706e-06,         0.014914,       0.0141,      0.00947,      0.00703,      0.00747,      0.00953,      0.00154,       0.00015838,       2.4128e-08,         0.015838,       0.0139,      0.00894,      0.00846,      0.00861,      0.00997,      0.00013
       606, 11297.849,    0.005,       0.00014943,       5.3699e-06,         0.014948,       0.0142,      0.00943,      0.00716,       0.0073,      0.00952,      0.00188,       0.00015807,       3.9882e-08,         0.015807,       0.0139,      0.00893,      0.00844,      0.00859,      0.00996,     0.000163
       607, 11316.484,    0.005,        0.0001679,       6.3427e-06,         0.016796,       0.0149,      0.00994,      0.00743,      0.00822,       0.0101,      0.00204,       0.00015814,       3.9481e-08,         0.015814,       0.0139,      0.00893,      0.00844,      0.00862,      0.00997,     0.000165
       608, 11335.107,    0.005,       0.00014815,       3.2446e-06,         0.014818,       0.0142,       0.0094,      0.00711,      0.00717,      0.00947,      0.00147,       0.00015811,        3.889e-08,         0.015811,       0.0139,      0.00893,      0.00844,      0.00862,      0.00997,     0.000161
       609, 11353.693,    0.005,       0.00015346,        4.683e-06,          0.01535,       0.0144,      0.00956,      0.00725,      0.00747,      0.00966,      0.00176,       0.00015809,       3.6644e-08,         0.015809,       0.0139,      0.00892,      0.00843,      0.00863,      0.00996,     0.000159
       610, 11372.253,    0.005,       0.00015125,       5.5635e-06,         0.015131,       0.0142,      0.00939,      0.00731,      0.00765,      0.00962,      0.00192,       0.00015785,        3.053e-08,         0.015785,       0.0139,      0.00892,      0.00843,      0.00861,      0.00996,     0.000142
       611, 11390.863,    0.005,       0.00015377,       4.2221e-06,         0.015381,       0.0142,      0.00957,      0.00719,      0.00782,       0.0097,      0.00167,       0.00015762,       3.1479e-08,         0.015762,       0.0138,      0.00891,      0.00844,      0.00861,      0.00995,     0.000147
       612, 11409.457,    0.005,       0.00015254,       4.1023e-06,         0.015258,       0.0143,      0.00948,      0.00718,      0.00767,      0.00965,      0.00165,       0.00015719,       2.9883e-08,         0.015719,       0.0138,       0.0089,      0.00842,      0.00859,      0.00994,     0.000139
       613, 11428.038,    0.005,       0.00015633,       6.4847e-06,         0.015639,       0.0147,      0.00975,      0.00703,      0.00731,      0.00969,      0.00207,       0.00015699,       4.0675e-08,         0.015699,       0.0138,       0.0089,      0.00842,      0.00856,      0.00993,     0.000163
       614, 11446.636,    0.005,       0.00014981,       2.5042e-06,         0.014984,       0.0142,      0.00944,      0.00724,      0.00739,      0.00956,      0.00129,       0.00015682,       2.4202e-08,         0.015682,       0.0138,       0.0089,      0.00842,      0.00857,      0.00993,     0.000124
       615, 11465.205,    0.005,       0.00015569,        3.819e-06,         0.015573,       0.0144,      0.00971,      0.00737,      0.00748,      0.00974,      0.00158,       0.00015693,       7.3896e-08,         0.015693,       0.0138,      0.00889,      0.00843,      0.00857,      0.00993,     0.000222
       616, 11483.785,    0.005,        0.0001645,         6.42e-06,         0.016456,        0.015,       0.0102,      0.00709,      0.00756,      0.00995,      0.00206,       0.00015692,       3.0567e-08,         0.015692,       0.0138,      0.00889,      0.00843,      0.00856,      0.00993,     0.000145
       617, 11502.429,    0.005,       0.00015212,       6.8766e-06,         0.015219,       0.0142,      0.00953,      0.00725,      0.00754,      0.00964,      0.00213,       0.00015682,       2.4047e-08,         0.015682,       0.0138,      0.00889,      0.00843,      0.00858,      0.00993,     0.000128
