epoch, wall, LR,training_loss_f,training_loss_e,training_loss,training_O_f_rmse,training_H_f_rmse,training_Li_f_rmse,training_Cl_f_rmse,training_psavg_f_rmse,training_e/N_rmse,validation_loss_f,validation_loss_e,validation_loss,validation_O_f_rmse,validation_H_f_rmse,validation_Li_f_rmse,validation_Cl_f_rmse,validation_psavg_f_rmse,validation_e/N_rmse
        53,  999.730,     0.01,        0.0011552,       1.7387e-05,          0.11554,       0.0364,       0.0264,       0.0222,       0.0233,       0.0271,      0.00339,       0.00085484,       7.0233e-07,         0.085484,       0.0296,       0.0217,       0.0216,       0.0221,       0.0237,     0.000683
        54, 1018.303,     0.01,        0.0010433,       2.1976e-05,          0.10435,       0.0336,       0.0244,       0.0221,       0.0234,       0.0259,      0.00381,       0.00084225,       4.8356e-07,         0.084225,       0.0294,       0.0215,       0.0214,       0.0219,       0.0235,     0.000568
        55, 1036.888,     0.01,        0.0011297,       2.5237e-05,            0.113,       0.0356,       0.0256,       0.0222,        0.024,       0.0268,      0.00408,       0.00083139,        8.116e-07,          0.08314,       0.0292,       0.0214,       0.0213,       0.0217,       0.0234,     0.000737
        56, 1055.477,     0.01,        0.0010869,       1.9217e-05,          0.10871,       0.0348,       0.0256,       0.0215,       0.0234,       0.0263,      0.00356,       0.00081879,        6.875e-07,          0.08188,       0.0291,       0.0212,        0.021,       0.0215,       0.0232,     0.000676
        57, 1074.109,     0.01,        0.0010829,       1.8764e-05,          0.10831,       0.0343,       0.0247,       0.0225,       0.0241,       0.0264,      0.00353,       0.00081009,       8.7455e-07,          0.08101,       0.0289,       0.0211,       0.0209,       0.0214,       0.0231,     0.000759
        58, 1092.700,     0.01,       0.00093166,       1.5654e-05,         0.093182,       0.0317,       0.0229,       0.0211,       0.0222,       0.0245,      0.00322,       0.00079832,       4.5741e-07,         0.079833,       0.0287,        0.021,       0.0208,       0.0213,       0.0229,     0.000549
        59, 1111.280,     0.01,        0.0011717,       2.6024e-05,           0.1172,       0.0369,       0.0265,        0.022,       0.0236,       0.0272,      0.00415,       0.00078846,       6.4725e-07,         0.078846,       0.0286,       0.0209,       0.0206,       0.0211,       0.0228,     0.000656
        60, 1129.934,     0.01,        0.0010754,       1.6691e-05,          0.10756,       0.0349,       0.0251,       0.0216,       0.0231,       0.0262,      0.00333,       0.00078144,       8.8055e-07,         0.078145,       0.0285,       0.0208,       0.0205,        0.021,       0.0227,     0.000768
        61, 1148.556,     0.01,       0.00091985,        1.397e-05,         0.091999,       0.0312,       0.0227,       0.0209,       0.0226,       0.0243,      0.00304,       0.00077045,        9.373e-07,         0.077046,       0.0283,       0.0206,       0.0203,       0.0208,       0.0225,     0.000789
        62, 1167.155,     0.01,       0.00095596,       1.8524e-05,         0.095615,        0.032,        0.023,       0.0217,       0.0225,       0.0248,       0.0035,       0.00075956,       1.7611e-07,         0.075956,       0.0281,       0.0205,       0.0202,       0.0207,       0.0223,     0.000342
        63, 1185.730,     0.01,        0.0010855,       1.7937e-05,          0.10857,        0.035,       0.0252,       0.0217,       0.0232,       0.0263,      0.00344,       0.00075449,       1.1422e-06,         0.075451,        0.028,       0.0204,       0.0201,       0.0206,       0.0223,     0.000866
